"","CLDN9","COL7A1","FJX1","KCNH2","LDB1","MTMR7","NR1H3","SIX2","ZFP42","ZSCAN12"
"CLDN9",1,0.386414206319844,0.436922107857631,0.378623440452472,0.329534660929657,0.267430885571117,0.341849964968119,0.321238959887471,0.341321300294323,0.289880775406566
"COL7A1",0.386414206319844,1,0.441960944659688,0.26593697038654,0.311485375738968,0.209721308315503,0.29046177718717,0.398658736725646,0.289260820641894,0.204831954293392
"FJX1",0.436922107857631,0.441960944659688,1,0.37704433947653,0.325423791131952,0.296579731853038,0.393145459129374,0.580275334988949,0.349646772887645,0.250417329622963
"KCNH2",0.378623440452472,0.26593697038654,0.37704433947653,1,0.356143778981267,0.236503056485729,0.443592785675228,0.313374340742284,0.294949526938867,0.590087816096593
"LDB1",0.329534660929657,0.311485375738968,0.325423791131952,0.356143778981267,1,0.239701921608569,0.465199359538878,0.354943190009995,0.486970479175602,0.581925628085568
"MTMR7",0.267430885571117,0.209721308315503,0.296579731853038,0.236503056485729,0.239701921608569,1,0.305600358291111,0.285178367876947,0.326561082888778,0.454788515008015
"NR1H3",0.341849964968119,0.29046177718717,0.393145459129374,0.443592785675228,0.465199359538878,0.305600358291111,1,0.320828147904423,0.400029999833302,0.663579064086159
"SIX2",0.321238959887471,0.398658736725646,0.580275334988949,0.313374340742284,0.354943190009995,0.285178367876947,0.320828147904423,1,0.461552723918236,0.65464755819269
"ZFP42",0.341321300294323,0.289260820641894,0.349646772887645,0.294949526938867,0.486970479175602,0.326561082888778,0.400029999833302,0.461552723918236,1,0.877773296041969
"ZSCAN12",0.289880775406566,0.204831954293392,0.250417329622963,0.590087816096593,0.581925628085568,0.454788515008015,0.663579064086159,0.65464755819269,0.877773296041969,1
